word	counts	topic_cluster
five_people	140	9
people_five	140	9
people_taken	139	9
guaranteed_cheer	137	9
tweet	137	9
simpsons-themed	137	9
tweet_guaranteed	137	9
debate	137	9
simpsons-themed_tweet	137	9
guaranteed	137	9
cheer	137	9
cheer_debate	137	9
news	133	9
debate_american	129	9
american	129	9
remember	120	9
footage_remember	120	9
american_politics	119	9
might	119	9
politics	119	9
politics_might	119	9
guy	114	9
remember_guy	114	9
left	114	9
filmed	106	9
guy_filmed	106	9
crashes_railway	97	9
hospital_injured	96	9
enhanced_security	78	9
enhanced	78	9
security	78	9
news_multiple	72	9
detectives	71	9
believe_lone	71	9
crude	71	9
heading_westminster	71	9
